airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-04-01,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5298
Jet Airways,2019-05-27,Delhi,Cochin,15:00:00,04:25:00,805,1.0,In-flight meal not included,12898
Air India,2019-03-01,Banglore,New Delhi,11:05:00,22:45:00,700,1.0,No Info,14069
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,In-flight meal not included,10844
Jet Airways,2019-04-01,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,In-flight meal not included,5406
Jet Airways,2019-05-06,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Jet Airways,2019-04-03,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,5177
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,10844
Vistara,2019-04-01,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5613
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,14571
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,14441
Spicejet,2019-04-12,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Spicejet,2019-04-06,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,12:35:00,1415,1.0,In-flight meal not included,11627
Air India,2019-05-24,Kolkata,Banglore,09:25:00,10:30:00,1505,2.0,No Info,12797
Indigo,2019-05-01,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,No Info,14781
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,16:20:00,1150,1.0,In-flight meal not included,10031
Spicejet,2019-06-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-27,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,7198
Vistara,2019-04-12,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5613
Jet Airways,2019-06-06,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Indigo,2019-03-15,Banglore,New Delhi,16:55:00,21:50:00,295,1.0,No Info,5397
Indigo,2019-03-21,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,6144
Jet Airways,2019-03-21,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,6540
Air India,2019-05-21,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Spicejet,2019-03-15,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No check-in baggage included,2385
Vistara,2019-03-12,Mumbai,Hyderabad,19:45:00,19:55:00,1450,1.0,No Info,12080
Air India,2019-03-12,Banglore,New Delhi,11:05:00,22:10:00,665,2.0,No Info,11948
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,10368
Multiple Carriers,2019-06-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,In-flight meal not included,6007
Air India,2019-06-06,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,9626
Air India,2019-05-09,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,7480
Multiple Carriers,2019-06-09,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Air India,2019-03-06,Kolkata,Banglore,14:15:00,16:45:00,150,0.0,No Info,4960
Jet Airways,2019-05-27,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,No Info,13364
Jet Airways,2019-06-24,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Air Asia,2019-05-09,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Indigo,2019-05-03,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,20:20:00,740,1.0,No Info,27992
Goair,2019-04-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5752
Jet Airways,2019-03-21,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,In-flight meal not included,7832
Indigo,2019-05-09,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No Info,7191
Air India,2019-05-09,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No Info,8576
Indigo,2019-04-09,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Indigo,2019-05-09,Delhi,Cochin,04:55:00,21:00:00,965,1.0,No Info,6979
Air India,2019-03-06,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,12646
Indigo,2019-05-15,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Air India,2019-05-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,8372
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,04:25:00,1325,2.0,In-flight meal not included,9296
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,11467
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,No Info,13067
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,12898
Jet Airways,2019-05-12,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,6144
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,09:30:00,1310,1.0,In-flight meal not included,11087
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14571
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,09:05:00,765,1.0,No Info,7927
Jet Airways,2019-03-21,Delhi,Cochin,10:20:00,18:50:00,1950,2.0,In-flight meal not included,9254
Air Asia,2019-06-27,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Air India,2019-03-03,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No Info,15113
Indigo,2019-04-15,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Multiple Carriers,2019-03-03,Delhi,Cochin,15:25:00,01:35:00,610,1.0,No Info,15147
Jet Airways,2019-06-24,Delhi,Cochin,07:05:00,12:35:00,330,1.0,No Info,14924
Air India,2019-06-27,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Jet Airways,2019-05-15,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Multiple Carriers,2019-05-06,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,10407
Jet Airways,2019-06-12,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,In-flight meal not included,10844
